work_date,hours,cost,employee_id,employee_name,role,hourly_rate,branch_code,branch_name,currency
2024-01-04,6.6,142.49,3SC-DTN-E002,Employee 002,Barista,21.59,3SC-DTN,3 Star Coffee - Downtown,SAR
2024-01-04,7.43,232.48,3SC-DTN-E003,Employee 003,Shift Lead,31.29,3SC-DTN,3 Star Coffee - Downtown,SAR
2024-01-04,4.66,117.34,3SC-DTN-E004,Employee 004,Shift Lead,25.18,3SC-DTN,3 Star Coffee - Downtown,SAR
2024-01-04,8.18,162.45,3SC-DTN-E005,Employee 005,Cashier,19.86,3SC-DTN,3 Star Coffee - Downtown,SAR
2024-01-04,6.06,140.47,3SC-DTN-E006,Employee 006,Cashier,23.18,3SC-DTN,3 Star Coffee - Downtown,SAR
2024-01-04,5.39,115.4,3SC-MAL-E007,Employee 007,Barista,21.41,3SC-MAL,3 Star Coffee - Mall,SAR
2024-01-04,5.94,154.02,3SC-MAL-E008,Employee 008,Barista,25.93,3SC-MAL,3 Star Coffee - Mall,SAR
2024-01-04,5.07,157.07,3SC-MAL-E009,Employee 009,Shift Lead,30.98,3SC-MAL,3 Star Coffee - Mall,SAR
2024-01-04,7.53,164.61,3SC-MAL-E012,Employee 012,Cashier,21.86,3SC-MAL,3 Star Coffee - Mall,SAR
2024-01-05,4.7,118.11,3SC-DTN-E001,Employee 001,Barista,25.13,3SC-DTN,3 Star Coffee - Downtown,SAR
2024-01-05,7.2,225.29,3SC-DTN-E003,Employee 003,Shift Lead,31.29,3SC-DTN,3 Star Coffee - Downtown,SAR
2024-01-05,5.36,134.96,3SC-DTN-E004,Employee 004,Shift Lead,25.18,3SC-DTN,3 Star Coffee - Downtown,SAR
2024-01-05,7.43,192.66,3SC-MAL-E008,Employee 008,Barista,25.93,3SC-MAL,3 Star Coffee - Mall,SAR
2024-01-05,6.67,204.17,3SC-MAL-E010,Employee 010,Shift Lead,30.61,3SC-MAL,3 Star Coffee - Mall,SAR
2024-01-05,5.96,130.29,3SC-MAL-E012,Employee 012,Cashier,21.86,3SC-MAL,3 Star Coffee - Mall,SAR
2024-01-06,7.99,158.68,3SC-DTN-E005,Employee 005,Cashier,19.86,3SC-DTN,3 Star Coffee - Downtown,SAR
2024-01-06,5.67,131.43,3SC-DTN-E006,Employee 006,Cashier,23.18,3SC-DTN,3 Star Coffee - Downtown,SAR
2024-01-06,8.65,224.29,3SC-MAL-E008,Employee 008,Barista,25.93,3SC-MAL,3 Star Coffee - Mall,SAR
2024-01-06,7.15,221.51,3SC-MAL-E009,Employee 009,Shift Lead,30.98,3SC-MAL,3 Star Coffee - Mall,SAR
2024-01-06,8.07,183.92,3SC-MAL-E011,Employee 011,Cashier,22.79,3SC-MAL,3 Star Coffee - Mall,SAR
2024-01-06,4.93,107.77,3SC-MAL-E012,Employee 012,Cashier,21.86,3SC-MAL,3 Star Coffee - Mall,SAR
2024-01-07,4.68,146.44,3SC-DTN-E003,Employee 003,Shift Lead,31.29,3SC-DTN,3 Star Coffee - Downtown,SAR
2024-01-07,6.09,141.17,3SC-DTN-E006,Employee 006,Cashier,23.18,3SC-DTN,3 Star Coffee - Downtown,SAR
2024-01-07,4.89,126.8,3SC-MAL-E008,Employee 008,Barista,25.93,3SC-MAL,3 Star Coffee - Mall,SAR
2024-01-07,7.77,240.71,3SC-MAL-E009,Employee 009,Shift Lead,30.98,3SC-MAL,3 Star Coffee - Mall,SAR
2024-01-07,6.97,158.85,3SC-MAL-E011,Employee 011,Cashier,22.79,3SC-MAL,3 Star Coffee - Mall,SAR
2024-01-08,5.78,124.79,3SC-DTN-E002,Employee 002,Barista,21.59,3SC-DTN,3 Star Coffee - Downtown,SAR
2024-01-08,7.65,239.37,3SC-DTN-E003,Employee 003,Shift Lead,31.29,3SC-DTN,3 Star Coffee - Downtown,SAR
2024-01-08,5.07,127.66,3SC-DTN-E004,Employee 004,Shift Lead,25.18,3SC-DTN,3 Star Coffee - Downtown,SAR
2024-01-08,8.52,197.49,3SC-DTN-E006,Employee 006,Cashier,23.18,3SC-DTN,3 Star Coffee - Downtown,SAR
2024-01-08,8.77,187.77,3SC-MAL-E007,Employee 007,Barista,21.41,3SC-MAL,3 Star Coffee - Mall,SAR
2024-01-08,8.09,209.77,3SC-MAL-E008,Employee 008,Barista,25.93,3SC-MAL,3 Star Coffee - Mall,SAR
2024-01-08,5.14,157.34,3SC-MAL-E010,Employee 010,Shift Lead,30.61,3SC-MAL,3 Star Coffee - Mall,SAR
2024-01-08,8.59,195.77,3SC-MAL-E011,Employee 011,Cashier,22.79,3SC-MAL,3 Star Coffee - Mall,SAR
2024-01-08,6.81,148.87,3SC-MAL-E012,Employee 012,Cashier,21.86,3SC-MAL,3 Star Coffee - Mall,SAR
2024-01-09,4.26,107.05,3SC-DTN-E001,Employee 001,Barista,25.13,3SC-DTN,3 Star Coffee - Downtown,SAR
2024-01-09,7.71,166.46,3SC-DTN-E002,Employee 002,Barista,21.59,3SC-DTN,3 Star Coffee - Downtown,SAR
2024-01-09,8.42,263.46,3SC-DTN-E003,Employee 003,Shift Lead,31.29,3SC-DTN,3 Star Coffee - Downtown,SAR
2024-01-09,6.32,159.14,3SC-DTN-E004,Employee 004,Shift Lead,25.18,3SC-DTN,3 Star Coffee - Downtown,SAR
2024-01-09,8.53,169.41,3SC-DTN-E005,Employee 005,Cashier,19.86,3SC-DTN,3 Star Coffee - Downtown,SAR
2024-01-09,5.43,125.87,3SC-DTN-E006,Employee 006,Cashier,23.18,3SC-DTN,3 Star Coffee - Downtown,SAR
2024-01-09,5.99,128.25,3SC-MAL-E007,Employee 007,Barista,21.41,3SC-MAL,3 Star Coffee - Mall,SAR
2024-01-09,5.76,131.27,3SC-MAL-E011,Employee 011,Cashier,22.79,3SC-MAL,3 Star Coffee - Mall,SAR
2024-01-09,6.73,147.12,3SC-MAL-E012,Employee 012,Cashier,21.86,3SC-MAL,3 Star Coffee - Mall,SAR
2024-01-10,7.09,178.17,3SC-DTN-E001,Employee 001,Barista,25.13,3SC-DTN,3 Star Coffee - Downtown,SAR
2024-01-10,8.28,178.77,3SC-DTN-E002,Employee 002,Barista,21.59,3SC-DTN,3 Star Coffee - Downtown,SAR
2024-01-10,5.82,182.11,3SC-DTN-E003,Employee 003,Shift Lead,31.29,3SC-DTN,3 Star Coffee - Downtown,SAR
2024-01-10,6.07,152.84,3SC-DTN-E004,Employee 004,Shift Lead,25.18,3SC-DTN,3 Star Coffee - Downtown,SAR
2024-01-10,7.57,150.34,3SC-DTN-E005,Employee 005,Cashier,19.86,3SC-DTN,3 Star Coffee - Downtown,SAR
2024-01-10,5.06,117.29,3SC-DTN-E006,Employee 006,Cashier,23.18,3SC-DTN,3 Star Coffee - Downtown,SAR
2024-01-10,7.53,161.22,3SC-MAL-E007,Employee 007,Barista,21.41,3SC-MAL,3 Star Coffee - Mall,SAR
2024-01-10,4.13,107.09,3SC-MAL-E008,Employee 008,Barista,25.93,3SC-MAL,3 Star Coffee - Mall,SAR
2024-01-10,6.58,203.85,3SC-MAL-E009,Employee 009,Shift Lead,30.98,3SC-MAL,3 Star Coffee - Mall,SAR
2024-01-10,5.79,126.57,3SC-MAL-E012,Employee 012,Cashier,21.86,3SC-MAL,3 Star Coffee - Mall,SAR
2024-01-11,8.29,259.39,3SC-DTN-E003,Employee 003,Shift Lead,31.29,3SC-DTN,3 Star Coffee - Downtown,SAR
2024-01-11,7.49,148.75,3SC-DTN-E005,Employee 005,Cashier,19.86,3SC-DTN,3 Star Coffee - Downtown,SAR
2024-01-11,7.2,166.9,3SC-DTN-E006,Employee 006,Cashier,23.18,3SC-DTN,3 Star Coffee - Downtown,SAR
2024-01-11,8.03,171.92,3SC-MAL-E007,Employee 007,Barista,21.41,3SC-MAL,3 Star Coffee - Mall,SAR
2024-01-11,5.34,116.73,3SC-MAL-E012,Employee 012,Cashier,21.86,3SC-MAL,3 Star Coffee - Mall,SAR
2024-01-12,8.96,177.95,3SC-DTN-E005,Employee 005,Cashier,19.86,3SC-DTN,3 Star Coffee - Downtown,SAR
2024-01-12,4.32,100.14,3SC-DTN-E006,Employee 006,Cashier,23.18,3SC-DTN,3 Star Coffee - Downtown,SAR
2024-01-12,6.23,133.38,3SC-MAL-E007,Employee 007,Barista,21.41,3SC-MAL,3 Star Coffee - Mall,SAR
2024-01-12,5.43,140.8,3SC-MAL-E008,Employee 008,Barista,25.93,3SC-MAL,3 Star Coffee - Mall,SAR
2024-01-12,6.28,194.55,3SC-MAL-E009,Employee 009,Shift Lead,30.98,3SC-MAL,3 Star Coffee - Mall,SAR
2024-01-12,7.72,175.94,3SC-MAL-E011,Employee 011,Cashier,22.79,3SC-MAL,3 Star Coffee - Mall,SAR
2024-01-12,8.11,177.28,3SC-MAL-E012,Employee 012,Cashier,21.86,3SC-MAL,3 Star Coffee - Mall,SAR
2024-01-13,8.5,213.6,3SC-DTN-E001,Employee 001,Barista,25.13,3SC-DTN,3 Star Coffee - Downtown,SAR
2024-01-13,5.29,133.2,3SC-DTN-E004,Employee 004,Shift Lead,25.18,3SC-DTN,3 Star Coffee - Downtown,SAR
2024-01-13,5.0,107.05,3SC-MAL-E007,Employee 007,Barista,21.41,3SC-MAL,3 Star Coffee - Mall,SAR
2024-01-13,4.67,144.68,3SC-MAL-E009,Employee 009,Shift Lead,30.98,3SC-MAL,3 Star Coffee - Mall,SAR
2024-01-14,5.46,137.21,3SC-DTN-E001,Employee 001,Barista,25.13,3SC-DTN,3 Star Coffee - Downtown,SAR
2024-01-14,4.59,99.1,3SC-DTN-E002,Employee 002,Barista,21.59,3SC-DTN,3 Star Coffee - Downtown,SAR
2024-01-14,8.88,277.86,3SC-DTN-E003,Employee 003,Shift Lead,31.29,3SC-DTN,3 Star Coffee - Downtown,SAR
2024-01-14,6.52,164.17,3SC-DTN-E004,Employee 004,Shift Lead,25.18,3SC-DTN,3 Star Coffee - Downtown,SAR
2024-01-14,7.55,175.01,3SC-DTN-E006,Employee 006,Cashier,23.18,3SC-DTN,3 Star Coffee - Downtown,SAR
2024-01-14,7.59,196.81,3SC-MAL-E008,Employee 008,Barista,25.93,3SC-MAL,3 Star Coffee - Mall,SAR
2024-01-14,6.02,137.2,3SC-MAL-E011,Employee 011,Cashier,22.79,3SC-MAL,3 Star Coffee - Mall,SAR
2024-01-15,8.65,217.37,3SC-DTN-E001,Employee 001,Barista,25.13,3SC-DTN,3 Star Coffee - Downtown,SAR
2024-01-15,6.28,135.59,3SC-DTN-E002,Employee 002,Barista,21.59,3SC-DTN,3 Star Coffee - Downtown,SAR
2024-01-15,5.65,142.27,3SC-DTN-E004,Employee 004,Shift Lead,25.18,3SC-DTN,3 Star Coffee - Downtown,SAR
2024-01-15,7.12,141.4,3SC-DTN-E005,Employee 005,Cashier,19.86,3SC-DTN,3 Star Coffee - Downtown,SAR
2024-01-15,5.61,130.04,3SC-DTN-E006,Employee 006,Cashier,23.18,3SC-DTN,3 Star Coffee - Downtown,SAR
2024-01-15,4.0,85.64,3SC-MAL-E007,Employee 007,Barista,21.41,3SC-MAL,3 Star Coffee - Mall,SAR
2024-01-15,6.88,178.4,3SC-MAL-E008,Employee 008,Barista,25.93,3SC-MAL,3 Star Coffee - Mall,SAR
2024-01-15,6.6,204.47,3SC-MAL-E009,Employee 009,Shift Lead,30.98,3SC-MAL,3 Star Coffee - Mall,SAR
2024-01-15,8.3,254.06,3SC-MAL-E010,Employee 010,Shift Lead,30.61,3SC-MAL,3 Star Coffee - Mall,SAR
2024-01-15,8.28,188.7,3SC-MAL-E011,Employee 011,Cashier,22.79,3SC-MAL,3 Star Coffee - Mall,SAR
2024-01-15,7.78,170.07,3SC-MAL-E012,Employee 012,Cashier,21.86,3SC-MAL,3 Star Coffee - Mall,SAR
2024-01-16,4.31,108.31,3SC-DTN-E001,Employee 001,Barista,25.13,3SC-DTN,3 Star Coffee - Downtown,SAR
2024-01-16,5.99,150.83,3SC-DTN-E004,Employee 004,Shift Lead,25.18,3SC-DTN,3 Star Coffee - Downtown,SAR
2024-01-16,6.41,148.58,3SC-DTN-E006,Employee 006,Cashier,23.18,3SC-DTN,3 Star Coffee - Downtown,SAR
2024-01-16,8.3,257.13,3SC-MAL-E009,Employee 009,Shift Lead,30.98,3SC-MAL,3 Star Coffee - Mall,SAR
2024-01-16,5.73,130.59,3SC-MAL-E011,Employee 011,Cashier,22.79,3SC-MAL,3 Star Coffee - Mall,SAR
2024-01-16,6.84,149.52,3SC-MAL-E012,Employee 012,Cashier,21.86,3SC-MAL,3 Star Coffee - Mall,SAR
2024-01-17,7.18,180.43,3SC-DTN-E001,Employee 001,Barista,25.13,3SC-DTN,3 Star Coffee - Downtown,SAR
2024-01-17,7.5,161.93,3SC-DTN-E002,Employee 002,Barista,21.59,3SC-DTN,3 Star Coffee - Downtown,SAR
2024-01-17,4.11,128.6,3SC-DTN-E003,Employee 003,Shift Lead,31.29,3SC-DTN,3 Star Coffee - Downtown,SAR
2024-01-17,7.12,179.28,3SC-DTN-E004,Employee 004,Shift Lead,25.18,3SC-DTN,3 Star Coffee - Downtown,SAR
2024-01-17,6.47,128.49,3SC-DTN-E005,Employee 005,Cashier,19.86,3SC-DTN,3 Star Coffee - Downtown,SAR
2024-01-17,7.81,181.04,3SC-DTN-E006,Employee 006,Cashier,23.18,3SC-DTN,3 Star Coffee - Downtown,SAR
2024-01-17,5.08,108.76,3SC-MAL-E007,Employee 007,Barista,21.41,3SC-MAL,3 Star Coffee - Mall,SAR
2024-01-17,4.27,110.72,3SC-MAL-E008,Employee 008,Barista,25.93,3SC-MAL,3 Star Coffee - Mall,SAR
2024-01-17,4.05,123.97,3SC-MAL-E010,Employee 010,Shift Lead,30.61,3SC-MAL,3 Star Coffee - Mall,SAR
2024-01-17,7.11,162.04,3SC-MAL-E011,Employee 011,Cashier,22.79,3SC-MAL,3 Star Coffee - Mall,SAR
2024-01-17,5.51,120.45,3SC-MAL-E012,Employee 012,Cashier,21.86,3SC-MAL,3 Star Coffee - Mall,SAR
2024-01-18,5.06,127.16,3SC-DTN-E001,Employee 001,Barista,25.13,3SC-DTN,3 Star Coffee - Downtown,SAR
2024-01-18,5.22,163.33,3SC-DTN-E003,Employee 003,Shift Lead,31.29,3SC-DTN,3 Star Coffee - Downtown,SAR
2024-01-18,5.25,132.19,3SC-DTN-E004,Employee 004,Shift Lead,25.18,3SC-DTN,3 Star Coffee - Downtown,SAR
2024-01-18,9.0,178.74,3SC-DTN-E005,Employee 005,Cashier,19.86,3SC-DTN,3 Star Coffee - Downtown,SAR
2024-01-18,5.03,116.6,3SC-DTN-E006,Employee 006,Cashier,23.18,3SC-DTN,3 Star Coffee - Downtown,SAR
2024-01-18,6.65,142.38,3SC-MAL-E007,Employee 007,Barista,21.41,3SC-MAL,3 Star Coffee - Mall,SAR
2024-01-18,8.98,232.85,3SC-MAL-E008,Employee 008,Barista,25.93,3SC-MAL,3 Star Coffee - Mall,SAR
2024-01-18,8.45,261.78,3SC-MAL-E009,Employee 009,Shift Lead,30.98,3SC-MAL,3 Star Coffee - Mall,SAR
2024-01-18,7.92,180.5,3SC-MAL-E011,Employee 011,Cashier,22.79,3SC-MAL,3 Star Coffee - Mall,SAR
2024-01-19,8.62,216.62,3SC-DTN-E001,Employee 001,Barista,25.13,3SC-DTN,3 Star Coffee - Downtown,SAR
2024-01-19,6.95,150.05,3SC-DTN-E002,Employee 002,Barista,21.59,3SC-DTN,3 Star Coffee - Downtown,SAR
2024-01-19,5.01,126.15,3SC-DTN-E004,Employee 004,Shift Lead,25.18,3SC-DTN,3 Star Coffee - Downtown,SAR
2024-01-19,5.88,116.78,3SC-DTN-E005,Employee 005,Cashier,19.86,3SC-DTN,3 Star Coffee - Downtown,SAR
2024-01-19,4.02,93.18,3SC-DTN-E006,Employee 006,Cashier,23.18,3SC-DTN,3 Star Coffee - Downtown,SAR
2024-01-19,5.58,172.87,3SC-MAL-E009,Employee 009,Shift Lead,30.98,3SC-MAL,3 Star Coffee - Mall,SAR
2024-01-19,6.71,146.68,3SC-MAL-E012,Employee 012,Cashier,21.86,3SC-MAL,3 Star Coffee - Mall,SAR
2024-01-20,4.27,92.19,3SC-DTN-E002,Employee 002,Barista,21.59,3SC-DTN,3 Star Coffee - Downtown,SAR
2024-01-20,8.43,263.77,3SC-DTN-E003,Employee 003,Shift Lead,31.29,3SC-DTN,3 Star Coffee - Downtown,SAR
2024-01-20,4.69,118.09,3SC-DTN-E004,Employee 004,Shift Lead,25.18,3SC-DTN,3 Star Coffee - Downtown,SAR
2024-01-20,7.17,166.2,3SC-DTN-E006,Employee 006,Cashier,23.18,3SC-DTN,3 Star Coffee - Downtown,SAR
2024-01-20,6.16,134.66,3SC-MAL-E012,Employee 012,Cashier,21.86,3SC-MAL,3 Star Coffee - Mall,SAR
2024-01-21,8.65,267.98,3SC-MAL-E009,Employee 009,Shift Lead,30.98,3SC-MAL,3 Star Coffee - Mall,SAR
2024-01-21,7.11,217.64,3SC-MAL-E010,Employee 010,Shift Lead,30.61,3SC-MAL,3 Star Coffee - Mall,SAR
2024-01-21,6.39,145.63,3SC-MAL-E011,Employee 011,Cashier,22.79,3SC-MAL,3 Star Coffee - Mall,SAR
2024-01-21,4.01,87.66,3SC-MAL-E012,Employee 012,Cashier,21.86,3SC-MAL,3 Star Coffee - Mall,SAR
2024-01-22,5.7,143.24,3SC-DTN-E001,Employee 001,Barista,25.13,3SC-DTN,3 Star Coffee - Downtown,SAR
2024-01-22,7.42,160.2,3SC-DTN-E002,Employee 002,Barista,21.59,3SC-DTN,3 Star Coffee - Downtown,SAR
2024-01-22,8.82,275.98,3SC-DTN-E003,Employee 003,Shift Lead,31.29,3SC-DTN,3 Star Coffee - Downtown,SAR
2024-01-22,7.12,179.28,3SC-DTN-E004,Employee 004,Shift Lead,25.18,3SC-DTN,3 Star Coffee - Downtown,SAR
2024-01-22,7.43,147.56,3SC-DTN-E005,Employee 005,Cashier,19.86,3SC-DTN,3 Star Coffee - Downtown,SAR
2024-01-22,5.34,123.78,3SC-DTN-E006,Employee 006,Cashier,23.18,3SC-DTN,3 Star Coffee - Downtown,SAR
2024-01-22,5.15,110.26,3SC-MAL-E007,Employee 007,Barista,21.41,3SC-MAL,3 Star Coffee - Mall,SAR
2024-01-22,8.8,272.62,3SC-MAL-E009,Employee 009,Shift Lead,30.98,3SC-MAL,3 Star Coffee - Mall,SAR
2024-01-22,4.97,152.13,3SC-MAL-E010,Employee 010,Shift Lead,30.61,3SC-MAL,3 Star Coffee - Mall,SAR
2024-01-22,6.29,143.35,3SC-MAL-E011,Employee 011,Cashier,22.79,3SC-MAL,3 Star Coffee - Mall,SAR
2024-01-23,5.44,136.71,3SC-DTN-E001,Employee 001,Barista,25.13,3SC-DTN,3 Star Coffee - Downtown,SAR
2024-01-23,7.62,164.52,3SC-DTN-E002,Employee 002,Barista,21.59,3SC-DTN,3 Star Coffee - Downtown,SAR
2024-01-23,6.14,192.12,3SC-DTN-E003,Employee 003,Shift Lead,31.29,3SC-DTN,3 Star Coffee - Downtown,SAR
2024-01-23,5.6,141.01,3SC-DTN-E004,Employee 004,Shift Lead,25.18,3SC-DTN,3 Star Coffee - Downtown,SAR
2024-01-23,5.73,113.8,3SC-DTN-E005,Employee 005,Cashier,19.86,3SC-DTN,3 Star Coffee - Downtown,SAR
2024-01-23,4.88,104.48,3SC-MAL-E007,Employee 007,Barista,21.41,3SC-MAL,3 Star Coffee - Mall,SAR
2024-01-23,5.61,145.47,3SC-MAL-E008,Employee 008,Barista,25.93,3SC-MAL,3 Star Coffee - Mall,SAR
2024-01-23,7.06,218.72,3SC-MAL-E009,Employee 009,Shift Lead,30.98,3SC-MAL,3 Star Coffee - Mall,SAR
2024-01-23,7.26,165.46,3SC-MAL-E011,Employee 011,Cashier,22.79,3SC-MAL,3 Star Coffee - Mall,SAR
2024-01-23,4.63,101.21,3SC-MAL-E012,Employee 012,Cashier,21.86,3SC-MAL,3 Star Coffee - Mall,SAR
2024-01-24,8.27,178.55,3SC-DTN-E002,Employee 002,Barista,21.59,3SC-DTN,3 Star Coffee - Downtown,SAR
2024-01-24,5.39,168.65,3SC-DTN-E003,Employee 003,Shift Lead,31.29,3SC-DTN,3 Star Coffee - Downtown,SAR
2024-01-24,7.28,183.31,3SC-DTN-E004,Employee 004,Shift Lead,25.18,3SC-DTN,3 Star Coffee - Downtown,SAR
2024-01-24,8.03,159.48,3SC-DTN-E005,Employee 005,Cashier,19.86,3SC-DTN,3 Star Coffee - Downtown,SAR
2024-01-24,6.74,156.23,3SC-DTN-E006,Employee 006,Cashier,23.18,3SC-DTN,3 Star Coffee - Downtown,SAR
2024-01-24,6.77,144.95,3SC-MAL-E007,Employee 007,Barista,21.41,3SC-MAL,3 Star Coffee - Mall,SAR
2024-01-24,5.4,140.02,3SC-MAL-E008,Employee 008,Barista,25.93,3SC-MAL,3 Star Coffee - Mall,SAR
2024-01-24,5.2,161.1,3SC-MAL-E009,Employee 009,Shift Lead,30.98,3SC-MAL,3 Star Coffee - Mall,SAR
2024-01-24,7.38,161.33,3SC-MAL-E012,Employee 012,Cashier,21.86,3SC-MAL,3 Star Coffee - Mall,SAR
2024-01-25,4.97,124.9,3SC-DTN-E001,Employee 001,Barista,25.13,3SC-DTN,3 Star Coffee - Downtown,SAR
2024-01-25,6.66,208.39,3SC-DTN-E003,Employee 003,Shift Lead,31.29,3SC-DTN,3 Star Coffee - Downtown,SAR
2024-01-25,7.63,151.53,3SC-DTN-E005,Employee 005,Cashier,19.86,3SC-DTN,3 Star Coffee - Downtown,SAR
2024-01-25,8.49,196.8,3SC-DTN-E006,Employee 006,Cashier,23.18,3SC-DTN,3 Star Coffee - Downtown,SAR
2024-01-25,5.31,113.69,3SC-MAL-E007,Employee 007,Barista,21.41,3SC-MAL,3 Star Coffee - Mall,SAR
2024-01-25,8.15,211.33,3SC-MAL-E008,Employee 008,Barista,25.93,3SC-MAL,3 Star Coffee - Mall,SAR
2024-01-25,8.4,257.12,3SC-MAL-E010,Employee 010,Shift Lead,30.61,3SC-MAL,3 Star Coffee - Mall,SAR
2024-01-25,7.62,173.66,3SC-MAL-E011,Employee 011,Cashier,22.79,3SC-MAL,3 Star Coffee - Mall,SAR
2024-01-26,7.42,160.2,3SC-DTN-E002,Employee 002,Barista,21.59,3SC-DTN,3 Star Coffee - Downtown,SAR
2024-01-26,4.22,132.04,3SC-DTN-E003,Employee 003,Shift Lead,31.29,3SC-DTN,3 Star Coffee - Downtown,SAR
2024-01-26,6.11,153.85,3SC-DTN-E004,Employee 004,Shift Lead,25.18,3SC-DTN,3 Star Coffee - Downtown,SAR
2024-01-26,6.53,169.32,3SC-MAL-E008,Employee 008,Barista,25.93,3SC-MAL,3 Star Coffee - Mall,SAR
2024-01-26,7.95,246.29,3SC-MAL-E009,Employee 009,Shift Lead,30.98,3SC-MAL,3 Star Coffee - Mall,SAR
2024-01-26,8.34,255.29,3SC-MAL-E010,Employee 010,Shift Lead,30.61,3SC-MAL,3 Star Coffee - Mall,SAR
2024-01-26,7.26,165.46,3SC-MAL-E011,Employee 011,Cashier,22.79,3SC-MAL,3 Star Coffee - Mall,SAR
2024-01-26,7.49,163.73,3SC-MAL-E012,Employee 012,Cashier,21.86,3SC-MAL,3 Star Coffee - Mall,SAR
2024-01-27,6.87,148.32,3SC-DTN-E002,Employee 002,Barista,21.59,3SC-DTN,3 Star Coffee - Downtown,SAR
2024-01-27,4.5,140.81,3SC-DTN-E003,Employee 003,Shift Lead,31.29,3SC-DTN,3 Star Coffee - Downtown,SAR
2024-01-27,8.86,175.96,3SC-DTN-E005,Employee 005,Cashier,19.86,3SC-DTN,3 Star Coffee - Downtown,SAR
2024-01-27,5.53,128.19,3SC-DTN-E006,Employee 006,Cashier,23.18,3SC-DTN,3 Star Coffee - Downtown,SAR
